"table","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13"
"model_inproceedings","**booktitle** (required)","`collection-title` and `conference`","Additionally `collection-type` would be populated as ""proceedings""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**year** (required)","`year`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**editor**","`editors`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**volume**","`volume`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**number**","`issue`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**series**","Ignored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**pages**","`start` and `end`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**address**","`address` property of `conference`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**month**","`month`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**organization**","`institution`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**publisher**","`publisher`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**note**","`notes`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**\@incollection**","`type: generic`","Including a `collection-title` value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**author** (required)","`authors`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**title** (required)","`title`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**booktitle** (required)","`collection-title`","Additionally `collection-type` would be populated as ""collection""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**publisher** (required)","`publisher`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**year** (required)","`year`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**editor**","`editors`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**volume**","`volume`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**number**","`issue`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**series**","Ignored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**type**","Ignored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**chapter**","`section`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**pages**","`start` and `end`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**address**","`address` property of `publisher`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**edition**","`edition`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**month**","`month`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**note**","`notes`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_manual","**\@manual**","`type: manual`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_manual","**title** (required)","`title`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_manual","**author**","`authors`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_manual","**organization**","`institution`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_manual","**address**","`address` property of `organization`","On missing `organization` mapped to `location`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_manual","**edition**","`edition`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_manual","**month**","`month`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_manual","**year**","`year`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_manual","**note**","`notes`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_thesis","**\@mastersthesis, \@phdthesis**","`type: thesis`","Use also `thesis-type` for identifying the thesis type.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_thesis","**author** (required)","`authors`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_thesis","**title** (required)","`title`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_thesis","**school** (required)","`institution`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_thesis","**year** (required)","`year`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_thesis","**type**","Ignored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_thesis","**address**","`address` property of `institution`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_thesis","**month**","`month`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_thesis","**note**","`notes`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_misc","**\@misc**","`type: generic`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_misc","**author**","`authors`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_misc","**title**","`title`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_misc","**howpublished**","`medium`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_misc","**month**","`month`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_misc","**year**","`year`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_misc","**note**","`notes`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_proceedings","**\@proceedings**","`type: proceedings`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_proceedings","**title** (required)","`title` and `conference`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_proceedings","**year** (required)","`year`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_proceedings","**editor**","`editors`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_proceedings","**volume**","`volume`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_proceedings","**number**","`issue`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_proceedings","**series**","`collection-title`","Additionally `collection-type` would be populated as ""proceedings""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_proceedings","**address**","`address` property of `conference`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_proceedings","**month**","`month`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_proceedings","**organization**","`institution`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_proceedings","**publisher**","`publisher`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_proceedings","**note**","`notes`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_techreport","**\@techreport**","`type: report`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_techreport","**author** (required)","`authors`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_techreport","**title** (required)","`title`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_techreport","**institution** (required)","`institution`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_techreport","**year** (required)","`year`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_techreport","**type**","Ignored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_techreport","**number**","`issue`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_techreport","**address**","`address` property of `institution`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_techreport","**month**","`month`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_techreport","**note**","`notes`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_unpublished","**\@unpublished**","`type: unpublished`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_unpublished","**author** (required)","`authors`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_unpublished","**title** (required)","`title`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_unpublished","**note** (required)","`notes`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_unpublished","**month**","`month`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_unpublished","**year**","`year`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`art`","A work of art, e.g., a painting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`article`",NA,"``article``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`audiovisual`",NA,"``audiovisual``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`bill`","A legal bill","``bill``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`blog`","A blog post","``blog``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`book`","A book or e-book","``book``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`catalogue`",NA,"``catalogue``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`conference`",NA,"``conference``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`conference-paper`",NA,"``conference-paper``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
